patient_name,count
Mondal,35
Sheikh,24
Biswas,14
Bibi,12
Haldar,10
Ghosh,9
Molla,8
Khatun,6
Khan,5
Bilas,5
You,4
Das,3
Tarafdar,3
Karikar,3
Adhikari,3
Ali,3
Sardar,2
Naskar,2
Sadukhan,2
Gita,2
